Date,Open,High,Low,Close,Volume
2026-03-09,363.96,390.0,357.67,389.32,35547220
2026-03-10,394.01,415.31,393.64,403.11,33745433
2026-03-11,410.77,422.75,405.79,418.69,30191430
2026-03-12,409.995,413.73,396.665,405.35,31720873
2026-03-13,413.75,429.35,413.0,426.13,39260990
2026-03-16,446.16,454.86,437.745,441.8,43067574
2026-03-17,452.535,462.7299,445.1401,461.69,43017891
2026-03-18,464.76,471.34,458.3,461.73,58973662
2026-03-19,424.97,457.22,421.11,444.27,74591901
2026-03-20,443.915,449.1,415.3601,422.9,64224943
2026-03-23,426.145,444.27,401.52,404.35,54807325
2026-03-24,401.28,404.98,388.91,395.53,44975061
2026-03-25,383.0,388.92,371.381,382.09,55328681
2026-03-26,370.02,374.25,350.0,355.46,54515896
2026-03-27,359.86,368.7,354.0601,357.22,45806655
2026-03-30,362.66,362.81,318.4,321.8,73833238
2026-03-31,321.67,337.84,311.49,337.84,73551844
2026-04-01,348.905,377.8899,343.0,367.85,74429797
2026-04-02,341.34,366.9399,340.2,366.24,51498685
2026-04-06,373.8,385.0768,370.61,377.76,41414860
2026-04-07,374.125,379.2499,364.1,377.58,40224123
2026-04-08,415.13,416.0,398.88,406.73,49216633
2026-04-09,407.61,423.94,398.44,421.51,43100965
2026-04-10,420.29,423.86,410.05,420.59,36377568
2026-04-13,416.47,426.88,408.5,426.56,37015799
2026-04-14,434.35,465.78,424.86,465.66,52534896
2026-04-15,457.625,463.95,439.32,456.23,40370110
2026-04-16,452.96,462.34,444.38,457.23,33626377
2026-04-17,466.85,470.97,452.2,455.07,33405025
2026-04-20,458.25,464.56,435.9,448.42,32013562
2026-04-21,451.32,457.82,441.3,449.38,27733985
2026-04-22,462.93,491.98,458.56,487.48,45998149
2026-04-23,482.28,493.6199,471.8,481.72,38178002
2026-04-24,495.915,506.99,489.36,496.72,35379587
2026-04-27,510.56,531.36,510.0185,524.56,41298792
2026-04-28,503.54,518.8333,488.23,504.29,44816645
2026-04-29,526.0,531.02,508.8001,518.46,36248450
2026-04-30,529.74,535.5,502.575,517.16,36554397
2026-05-01,511.78,545.91,510.21,542.21,40215252
2026-05-04,560.6,592.799,557.76,576.45,46043705
2026-05-05,609.775,651.74,605.47,640.2,64268503
2026-05-06,660.37,667.67,627.58,666.59,55725835
2026-05-07,649.83,683.09,635.4201,646.63,47527514
2026-05-08,676.45,747.21,676.21,746.81,65130914
2026-05-11,792.98,818.67,768.0,795.33,70972938
2026-05-12,774.7,782.76,706.601,766.58,73742954
2026-05-13,813.155,814.95,779.47,803.63,54875148
2026-05-14,787.62,812.0,775.63,776.01,42142707
2026-05-15,732.57,749.59,719.0,724.66,48519043
2026-05-18,750.46,757.0,663.25,681.54,60042491
2026-05-19,665.58,725.95,652.21,698.74,61792066
2026-05-20,734.955,735.68,700.66,731.99,47754460
2026-05-21,736.36,764.9,732.2,762.1,42461460
2026-05-22,756.815,780.1999,747.2,751.0,36002915
2026-05-26,820.5,916.7999,820.295,895.88,76560763
2026-05-27,955.66,956.16,888.15,928.41,72295713
2026-05-28,929.83,949.4899,904.78,923.52,49694349
2026-05-29,957.0,981.0,940.51,971.0,60498561
2026-06-01,1009.72,1046.97,1009.5,1035.5,46552116
2026-06-02,1050.0,1076.56,1017.201,1064.1,47555370
2026-06-03,1079.01,1089.29,1038.5,1079.57,40324175
2026-06-04,1007.1,1036.3699,971.68,996.0,54917159
2026-06-05,944.4,961.89,864.01,864.01,77250536
2026-06-08,938.265,962.95,916.5,949.28,54097769
2026-06-09,988.175,989.15,854.35,935.89,73448646
2026-06-10,905.13,957.48,883.25,891.88,55712574
2026-06-11,904.37,996.77,895.5,995.87,59418902
2026-06-12,971.81,1012.6198,960.19,981.61,40995386
2026-06-15,1055.89,1097.47,1051.5001,1087.99,44994605
2026-06-16,1099.7,1110.3999,1020.0,1020.76,45499755
2026-06-17,1061.3,1093.67,1014.14,1043.19,46149178
2026-06-18,1108.065,1149.43,1092.7935,1133.99,64642538
2026-06-22,1196.215,1213.56,1168.57,1211.38,53140816
2026-06-23,1080.0,1125.0,1038.5,1051.77,60243260
2026-06-24,1082.22,1083.32,991.1001,1048.51,68935710
2026-06-25,1233.0,1255.0,1136.31,1213.56,83040960
2026-06-26,1139.075,1198.7121,1121.36,1132.33,86405307
2026-06-29,1128.7,1148.79,1023.65,1145.28,60694113
2026-06-30,1144.73,1168.68,1124.66,1154.29,42152627
2026-07-01,1082.01,1097.0,1032.2,1032.28,51328104
2026-07-02,1041.5,1064.64,950.28,975.56,61844373
2026-07-06,1007.0,1019.0,980.85,984.75,37115846
2026-07-07,923.01,942.02,891.66,938.38,52367526
2026-07-08,902.64,959.0,900.41,948.8,42978962
2026-07-09,1016.51,1035.5,987.13,991.64,41110745
2026-07-10,964.975,998.0,954.13,979.3,31768093
2026-07-13,929.0,943.5,902.6,937.0,35536239
2026-07-14,988.38,994.8,950.07,983.12,30835225
2026-07-15,975.805,978.4,873.6301,904.28,54779242
2026-07-16,866.765,887.71,840.51,853.2,46718034
2026-07-17,822.525,903.96,804.0,848.95,63346278
2026-07-20,885.57,900.9999,858.9,865.46,37705237
2026-07-21,925.35,982.88,916.5701,970.82,49369020
2026-07-22,938.25,982.62,936.06,959.48,31588637
2026-07-23,975.13,1011.77,964.4,990.21,40196319
2026-07-24,959.03,967.14,904.0,920.95,40803073
2026-07-27,932.445,935.0,854.79,900.2,47591161
2026-07-28,839.61,848.36,789.09,820.53,61039321
2026-07-29,833.0,841.8,737.88,739.0,69845966
2026-07-30,793.135,882.5,789.0,874.66,63075299
